報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,
2025年09週(02月24日～03月02日),2025年03月05日作成,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
東京都,409,1.6,9,0.04,58,0.22,53,0.2,60,0.23,50,0.19,51,0.19,38,0.14,45,0.17,45,0.17
神奈川県,298,1.36,4,0.03,32,0.14,38,0.17,38,0.17,43,0.19,35,0.15,39,0.17,37,0.16,32,0.14
新潟県,95,1.73,3,0.05,11,0.2,12,0.22,11,0.2,9,0.16,9,0.16,14,0.25,10,0.18,16,0.29
富山県,42,1.5,2,0.07,8,0.28,6,0.21,12,0.41,5,0.17,3,0.1,1,0.03,4,0.14,1,0.03
石川県,44,1.52,1,0.03,4,0.14,5,0.17,8,0.28,8,0.28,3,0.1,5,0.17,8,0.28,2,0.07
福井県,32,1.28,1,0.04,4,0.16,4,0.16,4,0.16,6,0.24,4,0.16,4,0.16,3,0.12,2,0.08
山梨県,18,0.75,0,0,1,0.04,2,0.08,3,0.13,2,0.08,3,0.13,2,0.08,3,0.13,2,0.08
長野県,64,1.23,2,0.05,9,0.17,9,0.17,6,0.11,12,0.22,9,0.17,4,0.07,4,0.07,9,0.17
岐阜県,84,1.58,4,0.08,17,0.32,7,0.13,9,0.17,11,0.21,9,0.17,6,0.11,10,0.19,11,0.21
静岡県,123,1.38,3,0.03,16,0.18,18,0.2,15,0.17,9,0.1,17,0.19,11,0.12,22,0.25,12,0.13
愛知県,169,0.93,3,0.02,16,0.09,20,0.11,17,0.09,15,0.08,16,0.09,31,0.17,24,0.13,27,0.15
三重県,71,1.65,2,0.06,15,0.33,12,0.27,11,0.24,5,0.11,9,0.2,0,0,9,0.2,8,0.18
滋賀県,36,1.06,0,0,7,0.19,1,0.03,2,0.06,3,0.08,3,0.08,10,0.28,6,0.17,4,0.11
京都府,84,1.15,0,0,11,0.15,13,0.17,10,0.14,7,0.09,11,0.15,5,0.07,14,0.19,13,0.17
大阪府,276,1.48,6,0.03,36,0.19,31,0.16,36,0.19,36,0.19,43,0.22,17,0.12,34,0.18,37,0.19
兵庫県,180,1.44,5,0.05,23,0.18,15,0.12,21,0.16,19,0.15,27,0.21,19,0.15,34,0.27,17,0.13
奈良県,53,1.71,0,0,8,0.24,5,0.15,5,0.15,6,0.18,9,0.26,7,0.21,5,0.15,8,0.24
和歌山県,50,1.79,1,0.04,8,0.28,3,0.1,6,0.21,5,0.17,7,0.24,5,0.17,10,0.34,5,0.17
鳥取県,24,1.26,0,0,3,0.16,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,3,0.16,3,0.16
島根県,64,2.78,2,0.09,6,0.26,6,0.26,8,0.35,11,0.48,6,0.26,9,0.39,10,0.43,6,0.26
岡山県,84,1.56,7,0.13,14,0.26,12,0.22,9,0.17,7,0.13,12,0.22,9,0.17,5,0.09,9,0.17
広島県,87,1.23,1,0.02,14,0.19,12,0.16,9,0.12,13,0.18,8,0.11,11,0.15,3,0.04,16,0.22
山口県,97,2.26,4,0.09,16,0.37,13,0.3,13,0.3,12,0.28,12,0.28,12,0.28,7,0.16,8,0.19
徳島県,41,1.78,2,0.09,5,0.22,2,0.09,5,0.22,6,0.26,3,0.13,4,0.17,7,0.3,7,0.3
香川県,49,1.75,3,0.11,7,0.25,4,0.14,9,0.32,6,0.21,4,0.14,6,0.21,4,0.14,6,0.21
愛媛県,88,2.59,2,0.09,12,0.33,11,0.31,9,0.25,10,0.28,9,0.25,11,0.31,17,0.47,7,0.19
高知県,36,1.44,1,0.04,6,0.24,4,0.16,3,0.12,3,0.12,4,0.16,9,0.36,3,0.12,3,0.12
福岡県,289,2.43,8,0.07,32,0.27,35,0.29,29,0.24,46,0.39,33,0.28,38,0.32,28,0.24,40,0.34
佐賀県,77,3.5,5,0.24,10,0.43,3,0.13,6,0.26,9,0.39,9,0.39,16,0.7,11,0.48,8,0.35
長崎県,74,1.68,3,0.07,6,0.14,10,0.23,10,0.23,7,0.16,15,0.34,11,0.25,4,0.09,8,0.18
熊本県,170,3.47,4,0.08,19,0.39,13,0.27,14,0.29,25,0.5,30,0.6,20,0.4,24,0.48,21,0.42
大分県,135,3.75,4,0.11,13,0.36,20,0.56,19,0.53,15,0.42,9,0.25,16,0.44,22,0.61,17,0.47
宮崎県,114,3.26,4,0.12,15,0.42,13,0.36,12,0.33,9,0.25,15,0.42,15,0.42,18,0.5,13,0.36
鹿児島県,105,2.1,1,0.02,11,0.22,8,0.16,16,0.31,13,0.25,15,0.29,12,0.24,16,0.32,13,0.26
沖縄県,53,1.66,3,0.09,9,0.28,4,0.13,3,0.09,6,0.19,9,0.28,8,0.25,4,0.13,7,0.22
,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,232,0.08,10,0,30,0.01,29,0.01,28,0.01,34,0.01,32,0.01,24,0.01,17,0.01,28,0.01
北海道,17,0.13,0,0,6,0.04,3,0.02,1,0.01,2,0.01,2,0.01,3,0.02,0,0,0,0
青森県,4,0.11,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0
岩手県,2,0.05,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0
宮城県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0
秋田県,4,0.13,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03
山形県,3,0.12,0,0,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,7,0.1,2,0.03,0,0,0,0,1,0.01,1,0.01,2,0.03,0,0,0,0,1,0.01
栃木県,3,0.07,0,0,0,0,0,0,2,0.04,0,0,1,0.02,0,0,0,0,0,0
群馬県,5,0.1,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,2,0.04,0,0,0,0
埼玉県,15,0.1,1,0.01,0,0,3,0.02,3,0.02,2,0.01,3,0.02,0,0,2,0.01,1,0.01
千葉県,5,0.04,0,0,1,0.01,2,0.02,0,0,1,0.01,0,0,1,0.01,0,0,0,0
東京都,14,0.05,0,0,3,0.01,3,0.01,2,0.01,2,0.01,1,0,0,0,1,0,2,0.01
神奈川県,12,0.05,0,0,3,0.01,0,0,1,0,3,0.01,3,0.01,1,0,0,0,1,0
新潟県,4,0.07,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02
富山県,8,0.29,1,0.04,0,0,1,0.03,2,0.07,2,0.07,1,0.03,1,0.03,0,0,0,0
石川県,6,0.21,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0,0,0,1,0.03
福井県,6,0.24,1,0.04,1,0.04,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,9,0.17,0,0,0,0,2,0.04,0,0,0,0,3,0.06,2,0.04,1,0.02,1,0.02
岐阜県,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,1,0.01
愛知県,4,0.02,0,0,2,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0,1,0.01
三重県,3,0.07,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0
滋賀県,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,3,0.04,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,0,0
大阪府,11,0.06,0,0,1,0.01,4,0.02,0,0,1,0.01,1,0.01,0,0,3,0.02,1,0.01
兵庫県,8,0.06,0,0,0,0,0,0,3,0.02,0,0,1,0.01,1,0.01,1,0.01,2,0.02
奈良県,2,0.06,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.11
島根県,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04
岡山県,8,0.15,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0,3,0.06
広島県,4,0.06,0,0,0,0,2,0.03,0,0,0,0,0,0,1,0.01,0,0,1,0.01
山口県,3,0.07,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0
徳島県,2,0.09,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,0,0,0,0
香川県,4,0.14,0,0,2,0.07,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
福岡県,10,0.08,1,0.01,0,0,2,0.02,1,0.01,1,0.01,2,0.02,1,0.01,0,0,2,0.02
佐賀県,4,0.18,0,0,0,0,2,0.09,1,0.04,0,0,0,0,1,0.04,0,0,0,0
長崎県,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05
熊本県,11,0.22,0,0,2,0.04,0,0,1,0.02,3,0.06,1,0.02,0,0,3,0.06,1,0.02
大分県,7,0.19,0,0,0,0,0,0,0,0,3,0.08,2,0.06,1,0.03,1,0.03,0,0
宮崎県,5,0.14,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03,2,0.06,0,0
鹿児島県,3,0.06,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0
沖縄県,3,0.09,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0
,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,821,0.27,38,0.01,84,0.03,96,0.03,90,0.03,96,0.03,90,0.03,113,0.04,102,0.03,112,0.04
北海道,32,0.24,3,0.03,3,0.02,4,0.03,4,0.03,3,0.02,3,0.02,5,0.04,2,0.01,5,0.04
青森県,8,0.22,0,0,0,0,1,0.03,2,0.05,1,0.03,2,0.05,1,0.03,1,0.03,0,0
岩手県,9,0.23,2,0.05,1,0.03,0,0,1,0.03,2,0.05,2,0.05,0,0,0,0,1,0.03
宮城県,20,0.36,1,0.02,1,0.02,8,0.15,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,0,0
秋田県,3,0.1,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,1,0.03
山形県,7,0.28,0,0,0,0,1,0.04,0,0,0,0,1,0.04,1,0.04,3,0.12,1,0.04
福島県,8,0.17,0,0,0,0,4,0.08,0,0,0,0,3,0.06,1,0.02,0,0,0,0
茨城県,8,0.11,3,0.05,2,0.03,0,0,0,0,0,0,0,0,1,0.01,2,0.03,0,0
栃木県,10,0.22,1,0.03,0,0,1,0.02,3,0.06,1,0.02,0,0,2,0.04,2,0.04,0,0
群馬県,18,0.35,0,0,1,0.02,5,0.09,1,0.02,2,0.04,3,0.06,1,0.02,1,0.02,4,0.08
埼玉県,71,0.46,2,0.02,9,0.05,10,0.06,6,0.04,8,0.05,5,0.03,7,0.04,13,0.08,11,0.07
千葉県,48,0.38,1,0.01,6,0.05,3,0.02,4,0.03,9,0.07,4,0.03,9,0.07,5,0.04,7,0.05
東京都,79,0.31,2,0.01,10,0.04,7,0.03,11,0.04,7,0.03,11,0.04,15,0.06,8,0.03,8,0.03
神奈川県,83,0.38,0,0,8,0.03,6,0.03,7,0.03,16,0.07,17,0.07,10,0.04,9,0.04,10,0.04
新潟県,30,0.55,2,0.04,4,0.07,1,0.02,0,0,2,0.04,2,0.04,5,0.09,10,0.18,4,0.07
富山県,9,0.32,2,0.07,2,0.07,2,0.07,0,0,0,0,0,0,2,0.07,1,0.03,0,0
石川県,6,0.21,0,0,0,0,1,0.03,0,0,2,0.07,1,0.03,0,0,0,0,2,0.07
福井県,10,0.4,0,0,0,0,2,0.08,0,0,2,0.08,1,0.04,2,0.08,2,0.08,1,0.04
山梨県,7,0.29,0,0,2,0.08,1,0.04,3,0.13,0,0,0,0,0,0,0,0,1,0.04
長野県,5,0.1,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,2,0.04
岐阜県,7,0.13,1,0.02,1,0.02,1,0.02,2,0.04,0,0,1,0.02,0,0,0,0,1,0.02
静岡県,21,0.24,0,0,4,0.04,1,0.01,3,0.03,3,0.03,2,0.02,5,0.06,1,0.01,2,0.02
愛知県,30,0.17,0,0,3,0.02,4,0.02,8,0.04,5,0.03,2,0.01,1,0.01,3,0.02,4,0.02
三重県,9,0.21,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,0,0,3,0.07,2,0.05
滋賀県,12,0.35,2,0.08,1,0.03,2,0.06,3,0.08,0,0,1,0.03,0,0,2,0.06,1,0.03
京都府,16,0.22,0,0,1,0.01,2,0.03,1,0.01,1,0.01,2,0.03,2,0.03,0,0,7,0.09
大阪府,49,0.26,5,0.03,5,0.03,7,0.04,3,0.02,8,0.04,0,0,4,0.03,6,0.03,11,0.06
兵庫県,37,0.3,0,0,6,0.05,4,0.03,4,0.03,1,0.01,4,0.03,5,0.04,6,0.05,7,0.05
奈良県,3,0.1,1,0.1,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0
和歌山県,4,0.14,1,0.04,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,1,0.03
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05
島根県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
岡山県,28,0.52,1,0.02,5,0.09,2,0.04,1,0.02,5,0.09,3,0.06,7,0.13,3,0.06,1,0.02
広島県,14,0.2,0,0,0,0,3,0.04,2,0.03,1,0.01,2,0.03,2,0.03,4,0.05,0,0
山口県,4,0.09,0,0,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,1,0.02,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,8,0.29,0,0,0,0,0,0,1,0.04,0,0,2,0.07,1,0.04,1,0.04,3,0.11
愛媛県,9,0.26,0,0,1,0.03,0,0,1,0.03,1,0.03,2,0.06,2,0.06,2,0.06,0,0
高知県,5,0.2,0,0,2,0.08,0,0,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0
福岡県,30,0.25,4,0.03,0,0,0,0,5,0.04,4,0.03,3,0.03,6,0.05,5,0.04,3,0.03
佐賀県,4,0.18,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04
長崎県,10,0.23,2,0.05,1,0.02,2,0.05,1,0.02,0,0,2,0.05,0,0,2,0.05,0,0
熊本県,9,0.18,0,0,0,0,2,0.04,2,0.04,1,0.02,0,0,2,0.04,0,0,2,0.04
大分県,14,0.39,2,0.06,2,0.06,2,0.06,2,0.06,1,0.03,1,0.03,2,0.06,0,0,2,0.06
宮崎県,8,0.23,0,0,1,0.03,2,0.06,0,0,2,0.06,1,0.03,1,0.03,0,0,1,0.03
鹿児島県,5,0.1,0,0,1,0.02,1,0.02,0,0,0,0,0,0,1,0.02,0,0,2,0.04
沖縄県,12,0.38,0,0,0,0,0,0,2,0.06,4,0.13,2,0.06,2,0.06,0,0,2,0.06
,,,,,,,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,251,0.37,9,0.02,47,0.07,34,0.05,28,0.04,32,0.05,28,0.04,22,0.03,23,0.03,28,0.04
北海道,3,0.11,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,5,0.83,1,0.33,0,0,3,0.43,0,0,0,0,0,0,0,0,1,0.14,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,4,0.25,0,0,0,0,1,0.06,0,0,0,0,0,0,3,0.18,0,0,0,0
栃木県,2,0.18,0,0,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,79,2.03,2,0.11,17,0.4,13,0.31,9,0.21,7,0.17,9,0.21,5,0.12,6,0.14,11,0.26
千葉県,5,0.15,0,0,4,0.12,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
東京都,3,0.08,0,0,2,0.05,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
神奈川県,4,0.08,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,1,0.02
新潟県,15,1.5,2,0.2,2,0.2,2,0.2,3,0.3,2,0.2,0,0,1,0.1,2,0.2,1,0.1
富山県,13,2.17,0,0,2,0.29,2,0.29,0,0,0,0,0,0,3,0.43,4,0.57,2,0.29
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,13,0.37,0,0,1,0.03,2,0.06,3,0.09,2,0.06,1,0.03,0,0,1,0.03,3,0.09
三重県,1,0.09,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0
大阪府,16,0.32,0,0,6,0.12,3,0.06,0,0,1,0.02,5,0.1,1,0.03,0,0,0,0
兵庫県,22,0.65,0,0,2,0.06,0,0,5,0.14,4,0.11,2,0.06,2,0.06,4,0.11,3,0.09
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,5,1.67,0,0,2,0.5,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,2,0.17,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0
広島県,5,0.28,0,0,1,0.05,0,0,1,0.05,0,0,1,0.05,1,0.05,0,0,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,6,2,0,0,1,0.25,1,0.25,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0
香川県,4,0.8,0,0,0,0,0,0,0,0,2,0.4,1,0.2,0,0,0,0,1,0.2
愛媛県,1,0.14,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,8,0.31,0,0,0,0,1,0.04,1,0.04,1,0.04,1,0.04,2,0.08,2,0.08,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,25,3.13,1,0.13,1,0.13,3,0.38,3,0.38,8,1,2,0.25,3,0.38,0,0,4,0.5
熊本県,2,0.22,0,0,0,0,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0
沖縄県,5,0.56,0,0,1,0.11,0,0,0,0,1,0.11,2,0.22,0,0,1,0.11,0,0
,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4398,6.47,125,0.22,774,1.11,423,0.61,412,0.59,505,0.72,562,0.81,518,0.76,570,0.82,509,0.73
北海道,76,2.71,3,0.13,13,0.45,10,0.34,9,0.31,6,0.21,11,0.38,12,0.41,5,0.17,7,0.24
青森県,7,0.78,0,0,2,0.2,2,0.2,1,0.1,0,0,0,0,0,0,1,0.1,1,0.1
岩手県,78,5.57,0,0,12,0.86,9,0.64,3,0.21,7,0.5,6,0.43,19,1.36,12,0.86,10,0.71
宮城県,66,5.5,0,0,18,1.5,4,0.33,5,0.42,10,0.83,8,0.67,8,0.67,6,0.5,7,0.58
秋田県,15,2.5,3,1,4,0.57,0,0,1,0.14,0,0,2,0.29,3,0.43,2,0.29,0,0
山形県,67,9.57,0,0,1,0.13,2,0.25,8,1,17,2.13,10,1.25,15,1.88,2,0.25,12,1.5
福島県,220,16.92,13,1,30,2.31,10,0.77,19,1.46,16,1.23,36,2.77,28,2.15,43,3.31,25,1.92
茨城県,377,23.56,12,1,66,3.88,35,2.06,37,2.18,44,2.59,38,2.24,36,2.12,53,3.12,56,3.29
栃木県,88,8,1,0.11,23,1.92,9,0.75,6,0.5,10,0.83,5,0.42,11,0.92,13,1.08,10,0.83
群馬県,56,4.31,1,0.17,14,1,6,0.43,6,0.43,9,0.64,6,0.43,5,0.36,6,0.43,3,0.21
埼玉県,183,4.69,5,0.28,37,0.88,20,0.48,14,0.33,22,0.52,20,0.48,9,0.21,24,0.57,32,0.76
千葉県,233,7.06,4,0.14,44,1.29,35,1,24,0.69,16,0.47,34,0.97,25,0.74,27,0.77,24,0.69
東京都,181,4.76,12,0.4,37,0.95,20,0.51,21,0.54,19,0.49,20,0.51,15,0.38,20,0.51,17,0.44
神奈川県,399,8.31,5,0.14,79,1.55,41,0.82,48,0.96,43,0.84,63,1.31,36,0.71,40,0.83,44,0.88
新潟県,41,4.1,1,0.1,9,0.9,3,0.3,8,0.8,8,0.8,2,0.2,2,0.2,7,0.7,1,0.1
富山県,13,2.17,0,0,3,0.43,3,0.43,1,0.14,2,0.29,1,0.14,2,0.29,1,0.14,0,0
石川県,97,13.86,6,0.86,25,3.57,9,1.29,8,1.14,11,1.57,17,2.43,5,0.71,7,1,9,1.29
福井県,4,1.33,0,0,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,184,20.44,0,0,31,3.44,19,2.11,17,1.89,25,2.78,36,4,17,1.89,21,2.33,18,2
長野県,254,28.22,12,2,38,3.8,25,2.5,18,1.8,29,2.9,29,2.9,33,3.3,35,3.5,35,3.5
岐阜県,5,0.45,0,0,2,0.18,1,0.09,0,0,0,0,0,0,2,0.18,0,0,0,0
静岡県,52,2.48,4,0.18,10,0.48,6,0.27,3,0.14,6,0.27,4,0.18,8,0.36,8,0.36,3,0.14
愛知県,54,1.54,0,0,13,0.37,2,0.06,8,0.23,6,0.17,8,0.23,6,0.17,5,0.14,6,0.17
三重県,7,0.64,0,0,1,0.08,0,0,0,0,0,0,4,0.33,0,0,2,0.17,0,0
滋賀県,4,0.44,0,0,0,0,0,0,0,0,0,0,1,0.11,1,0.11,2,0.22,0,0
京都府,47,2.76,0,0,4,0.25,10,0.59,6,0.35,7,0.39,5,0.29,8,0.44,3,0.17,4,0.22
大阪府,109,2.18,0,0,26,0.5,12,0.23,13,0.25,16,0.31,6,0.12,7,0.2,21,0.4,8,0.15
兵庫県,213,6.26,6,0.21,41,1.17,18,0.51,22,0.63,31,0.89,26,0.74,27,0.77,20,0.57,22,0.63
奈良県,29,3.22,0,0,5,0.5,2,0.2,6,0.6,4,0.4,1,0.1,6,0.6,3,0.3,2,0.2
和歌山県,12,4,0,0,6,1.5,4,1,1,0.25,1,0.25,0,0,0,0,0,0,0,0
鳥取県,4,0.8,0,0,2,0.4,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,53,4.42,1,0.08,11,0.92,3,0.25,1,0.08,4,0.33,8,0.67,7,0.58,9,0.75,9,0.75
広島県,207,11.5,2,0.2,43,2.26,16,0.84,13,0.68,30,1.58,32,1.68,30,1.58,25,1.32,16,0.84
山口県,53,5.89,0,0,20,2.22,3,0.33,4,0.44,8,0.89,8,0.89,2,0.22,8,0.89,0,0
徳島県,3,1,0,0,0,0,0,0,1,0.25,1,0.25,0,0,0,0,0,0,1,0.33
香川県,12,2.4,0,0,3,0.6,5,1,0,0,0,0,0,0,1,0.2,3,0.6,0,0
愛媛県,185,26.43,4,0.67,26,3.25,16,2,19,2.38,20,2.5,29,3.63,24,3,28,3.5,19,2.38
高知県,5,1.67,0,0,1,0.33,0,0,1,0.33,0,0,0,0,0,0,1,0.33,2,0.67
福岡県,78,3,4,0.15,11,0.42,8,0.31,9,0.35,8,0.31,8,0.31,18,0.69,8,0.31,4,0.15
佐賀県,6,2,0,0,0,0,1,0.25,0,0,0,0,1,0.25,3,0.75,0,0,1,0.25
長崎県,116,14.5,8,1,15,1.88,21,2.63,12,1.5,13,1.63,11,1.38,14,1.75,16,2,6,0.75
熊本県,87,9.67,4,0.44,14,1.56,11,1.22,8,0.89,7,0.78,12,1.33,14,1.56,6,0.67,11,1.22
大分県,33,6.6,10,2,4,0.8,3,0.6,2,0.4,3,0.6,4,0.8,2,0.4,3,0.6,2,0.4
宮崎県,31,6.2,1,0.25,2,0.33,1,0.17,8,1.33,6,1,6,1,3,0.5,2,0.33,2,0.33
鹿児島県,56,8,3,0.43,4,0.57,3,0.43,8,1.14,5,0.71,3,0.43,8,1.14,10,1.43,12,1.71
沖縄県,298,33.11,0,0,20,2.22,13,1.44,13,1.44,35,3.89,41,4.56,46,5.11,62,6.89,68,7.56
,,,,,,,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
