報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
長野県,49,0.91,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02,2,0.04,2,0.04,0,0,3,0.06,0,0,1,0.02,0,0,0,0,0,0,3,0.06,1,0.02,6,0.11,7,0.13
岐阜県,99,1.87,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02,3,0.06,6,0.11,3,0.06,16,0.3,8,0.15,4,0.08,5,0.09,4,0.08,4,0.08,6,0.11,8,0.15,10,0.19,8,0.15
静岡県,119,1.34,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09,13,0.15,4,0.04,3,0.03,3,0.03,9,0.1,4,0.04,3,0.03,11,0.12,3,0.03,10,0.11,6,0.07,10,0.11,11,0.12
愛知県,232,1.27,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04,4,0.02,5,0.03,5,0.03,8,0.04,8,0.04,9,0.05,8,0.04,17,0.09,22,0.12,25,0.14,31,0.17,39,0.21,23,0.13
三重県,204,4.53,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09,8,0.18,6,0.13,7,0.16,12,0.27,9,0.2,7,0.16,15,0.33,7,0.16,6,0.13,19,0.42,31,0.69,43,0.96,14,0.31
滋賀県,151,4.31,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33,2,0.06,7,0.19,7,0.19,6,0.17,8,0.22,14,0.39,4,0.11,11,0.31,4,0.11,10,0.28,9,0.25,14,0.39,17,0.5
京都府,457,6.09,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31,18,0.24,13,0.17,18,0.24,36,0.47,24,0.32,29,0.38,23,0.3,18,0.24,23,0.3,30,0.39,54,0.7,51,0.66,38,0.5
大阪府,2127,10.8,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56,83,0.42,107,0.54,113,0.57,96,0.48,87,0.44,104,0.53,69,0.35,109,0.55,94,0.48,159,0.81,209,1.07,256,1.31,231,1.18
兵庫県,714,5.58,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18,25,0.2,30,0.23,28,0.22,39,0.3,40,0.31,24,0.19,40,0.31,37,0.29,31,0.24,44,0.34,88,0.68,81,0.63,93,0.72
奈良県,329,9.97,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32,6,0.18,9,0.27,24,0.73,17,0.52,20,0.61,19,0.58,6,0.18,6,0.18,18,0.53,27,0.79,44,1.29,36,1.06,45,1.36
和歌山県,196,6.53,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33,6,0.2,9,0.3,12,0.4,17,0.57,13,0.43,4,0.13,7,0.23,4,0.13,5,0.17,18,0.6,11,0.37,13,0.43,27,0.9
鳥取県,38,2,0,0,1,0.05,4,0.21,4,0.21,5,0.26,2,0.11,3,0.16,3,0.16,4,0.21,1,0.05,2,0.11,2,0.11,0,0,1,0.05,0,0,1,0.05,1,0.05,4,0.21
島根県,110,4.78,0,0,0,0,4,0.17,5,0.22,7,0.3,4,0.17,4,0.17,7,0.3,5,0.22,8,0.35,9,0.39,5,0.22,9,0.39,13,0.57,8,0.35,9,0.39,8,0.35,5,0.22
岡山県,422,7.81,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09,21,0.39,13,0.24,28,0.52,40,0.74,12,0.22,36,0.67,33,0.61,29,0.54,12,0.22,33,0.61,42,0.78,46,0.85,36,0.67
広島県,397,5.75,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45,17,0.25,20,0.29,22,0.31,27,0.39,23,0.33,17,0.24,14,0.2,22,0.31,13,0.19,44,0.66,41,0.61,28,0.42,31,0.46
山口県,40,0.93,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09,2,0.05,0,0,1,0.02,2,0.05,5,0.12,4,0.09,3,0.07,2,0.05,2,0.05,3,0.07,1,0.02,2,0.05,1,0.02
徳島県,327,14.22,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61,7,0.3,8,0.35,14,0.61,18,0.78,24,1.04,21,0.91,12,0.52,19,0.83,28,1.22,24,1.04,27,1.17,42,1.83,47,2.04
香川県,267,9.54,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82,27,0.96,18,0.64,32,1.14,25,0.89,18,0.64,5,0.18,12,0.43,14,0.5,9,0.32,14,0.5,9,0.32,5,0.18,13,0.46
愛媛県,662,18.39,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27,11,0.3,9,0.24,20,0.54,21,0.57,17,0.46,24,0.65,21,0.57,25,0.68,36,0.97,62,1.68,65,1.76,133,3.59,146,3.95
高知県,136,5.44,4,0.15,5,0.19,6,0.23,0,0,5,0.19,2,0.08,3,0.12,4,0.15,5,0.19,1,0.04,1,0.04,2,0.08,3,0.12,11,0.44,12,0.48,22,0.88,22,0.88,28,1.12
福岡県,898,7.48,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38,36,0.3,37,0.31,27,0.23,38,0.32,28,0.23,39,0.33,35,0.29,22,0.18,52,0.43,53,0.44,78,0.65,102,0.85,168,1.4
佐賀県,72,3.13,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48,4,0.17,2,0.09,4,0.17,6,0.26,0,0,3,0.13,3,0.13,0,0,3,0.13,5,0.22,6,0.26,3,0.13,7,0.3
長崎県,281,6.53,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43,18,0.41,10,0.23,6,0.14,9,0.21,18,0.42,18,0.42,21,0.49,11,0.26,10,0.23,18,0.41,30,0.68,22,0.51,30,0.68
熊本県,374,7.48,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46,29,0.58,18,0.36,8,0.16,20,0.4,13,0.26,13,0.26,5,0.1,9,0.18,14,0.28,31,0.62,43,0.86,46,0.92,33,0.66
大分県,752,20.89,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58,14,0.39,17,0.47,22,0.61,14,0.39,13,0.36,22,0.61,17,0.47,33,0.92,27,0.75,44,1.22,109,3.03,175,4.86,197,5.47
宮崎県,546,15.17,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92,25,0.69,20,0.56,20,0.56,18,0.5,15,0.42,19,0.53,22,0.61,35,0.97,31,0.86,50,1.39,40,1.11,77,2.14,58,1.61
鹿児島県,936,18.72,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94,45,0.88,27,0.53,40,0.78,46,0.9,38,0.75,44,0.86,33,0.65,33,0.65,30,0.6,76,1.49,85,1.67,106,2.08,126,2.47
沖縄県,154,5.13,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1,3,0.1,1,0.03,1,0.03,2,0.06,2,0.06,11,0.35,4,0.13,2,0.06,5,0.17,13,0.43,20,0.67,30,1,37,1.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1230,0.39,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02,61,0.02,54,0.02,55,0.02,60,0.02,68,0.02,63,0.02,53,0.02,87,0.03,57,0.02,83,0.03,153,0.05,93,0.03,77,0.02
北海道,6,0.04,1,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0
青森県,5,0.14,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,39,1,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,1,0.03,0,0,0,0,0,0,1,0.03,4,0.1,5,0.13,6,0.15,12,0.3,7,0.18,1,0.03
宮城県,9,0.17,1,0.02,0,0,0,0,4,0.07,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0
秋田県,6,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,3,0.09,0,0,0,0
山形県,15,0.54,1,0.04,3,0.11,0,0,1,0.04,2,0.07,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,1,0.04,2,0.07
福島県,20,0.41,0,0,1,0.02,4,0.08,1,0.02,1,0.02,1,0.02,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,2,0.04,0,0,2,0.04,2,0.04,1,0.02,1,0.02
茨城県,11,0.15,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0,0,0,1,0.01,0,0,3,0.04,1,0.01,0,0,0,0,0,0,0,0,0,0
栃木県,11,0.23,0,0,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,0,0,0,0,0,0,1,0.02,2,0.04,3,0.06
群馬県,11,0.21,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,2,0.04,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0
埼玉県,79,0.49,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02,1,0.01,3,0.02,1,0.01,4,0.02,1,0.01,2,0.01,7,0.04,8,0.05,5,0.03,7,0.04,8,0.05,5,0.03,11,0.07
千葉県,39,0.31,0,0,1,0.01,2,0.02,2,0.02,0,0,1,0.01,1,0.01,2,0.02,2,0.02,1,0.01,4,0.03,4,0.03,4,0.03,1,0.01,4,0.03,7,0.06,1,0.01,2,0.02
東京都,385,1.48,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08,21,0.08,21,0.08,14,0.05,16,0.06,16,0.06,18,0.07,11,0.04,23,0.09,19,0.07,23,0.09,50,0.19,39,0.15,22,0.09
神奈川県,190,0.83,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03,15,0.06,7,0.03,12,0.05,11,0.05,10,0.04,8,0.03,6,0.03,10,0.04,9,0.04,11,0.05,28,0.12,11,0.05,21,0.09
新潟県,14,0.25,0,0,1,0.02,0,0,3,0.05,0,0,0,0,2,0.04,1,0.02,0,0,2,0.04,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0
富山県,4,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
石川県,4,0.14,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0
福井県,6,0.24,2,0.08,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.04,0,0
山梨県,5,0.21,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04
長野県,8,0.15,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,2,0.04,0,0,1,0.02,0,0,0,0,0,0,1,0.02,1,0.02,0,0
岐阜県,5,0.09,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02
静岡県,35,0.39,0,0,0,0,1,0.01,0,0,4,0.04,0,0,1,0.01,2,0.02,3,0.03,4,0.04,1,0.01,1,0.01,2,0.02,4,0.04,2,0.02,5,0.06,4,0.04,1,0.01
愛知県,18,0.1,3,0.02,0,0,0,0,0,0,0,0,1,0.01,1,0.01,2,0.01,3,0.02,3,0.02,1,0.01,0,0,1,0.01,1,0.01,0,0,2,0.01,0,0,0,0
三重県,10,0.22,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0,2,0.04,0,0,1,0.02,0,0,2,0.04,0,0
滋賀県,11,0.31,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.06,0,0,0,0,0,0,2,0.06,3,0.08,1,0.03,0,0,1,0.03,0,0,0,0
京都府,12,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,1,0.01,0,0,1,0.01,5,0.06,2,0.03,0,0
大阪府,44,0.22,1,0.01,6,0.03,0,0,1,0.01,2,0.01,4,0.02,3,0.02,2,0.01,4,0.02,2,0.01,1,0.01,1,0.01,7,0.04,0,0,1,0.01,4,0.02,2,0.01,3,0.02
兵庫県,45,0.35,0,0,2,0.02,1,0.01,4,0.03,1,0.01,2,0.02,2,0.02,1,0.01,1,0.01,4,0.03,3,0.02,4,0.03,5,0.04,3,0.02,4,0.03,5,0.04,2,0.02,1,0.01
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0
島根県,4,0.17,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0
岡山県,20,0.37,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,3,0.06,2,0.04,1,0.02,0,0,0,0,0,0
広島県,14,0.2,1,0.01,1,0.01,0,0,0,0,2,0.03,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,2,0.03,1,0.01,2,0.03,1,0.01
山口県,7,0.16,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,1,0.02,2,0.05,1,0.02,0,0,1,0.02,0,0,0,0,0,0
徳島県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,13,0.46,0,0,0,0,0,0,0,0,3,0.11,0,0,2,0.07,0,0,2,0.07,1,0.04,4,0.14,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
愛媛県,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0
高知県,12,0.48,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,3,0.12,0,0,0,0,0,0,1,0.04,1,0.04,0,0,2,0.08
福岡県,39,0.33,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0,0,0,4,0.03,3,0.03,5,0.04,3,0.03,1,0.01,3,0.03,1,0.01,3,0.03,8,0.07,1,0.01,3,0.03
佐賀県,5,0.22,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0
長崎県,5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0
熊本県,18,0.36,0,0,1,0.02,0,0,3,0.06,2,0.04,4,0.08,0,0,0,0,0,0,0,0,2,0.04,1,0.02,0,0,0,0,3,0.06,1,0.02,1,0.02,0,0
大分県,7,0.19,0,0,0,0,0,0,3,0.08,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,13,0.36,0,0,0,0,0,0,0,0,4,0.11,0,0,2,0.06,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,4,0.11,1,0.03
鹿児島県,10,0.2,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0
沖縄県,6,0.2,0,0,1,0.03,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,12137,3.88,358,0.12,643,0.21,655,0.21,638,0.2,631,0.2,578,0.18,592,0.19,591,0.19,665,0.21,634,0.2,703,0.22,657,0.21,706,0.23,714,0.23,784,0.25,933,0.3,983,0.31,672,0.22
北海道,258,1.88,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09,13,0.09,13,0.09,24,0.17,14,0.1,11,0.08,12,0.09,14,0.1,13,0.09,10,0.07,21,0.15,15,0.11,16,0.12,15,0.11
青森県,151,4.19,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24,14,0.38,15,0.41,11,0.3,6,0.16,8,0.22,6,0.16,10,0.27,3,0.08,7,0.19,10,0.27,11,0.3,10,0.27,8,0.23
岩手県,210,5.38,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28,19,0.5,13,0.34,10,0.26,8,0.21,12,0.31,10,0.26,14,0.36,9,0.23,10,0.25,15,0.38,6,0.15,19,0.48,9,0.23
宮城県,238,4.41,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38,14,0.25,17,0.31,10,0.18,2,0.04,5,0.09,15,0.27,16,0.29,15,0.27,16,0.3,12,0.23,19,0.36,15,0.28,14,0.26
秋田県,73,2.21,1,0.03,8,0.24,6,0.18,5,0.15,5,0.15,2,0.06,2,0.06,3,0.09,2,0.06,5,0.15,3,0.09,3,0.09,9,0.27,6,0.18,3,0.09,2,0.06,4,0.12,4,0.12
山形県,157,5.61,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39,6,0.21,9,0.32,5,0.18,13,0.46,11,0.39,3,0.11,9,0.32,10,0.36,10,0.36,8,0.29,6,0.21,8,0.29,10,0.36
福島県,263,5.37,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29,18,0.37,8,0.16,22,0.45,11,0.22,14,0.29,19,0.39,13,0.27,11,0.22,17,0.35,19,0.39,10,0.2,23,0.47,14,0.29
茨城県,129,1.72,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05,6,0.08,3,0.04,9,0.12,9,0.12,5,0.07,7,0.09,9,0.12,6,0.08,7,0.09,11,0.15,9,0.12,11,0.15,11,0.15
栃木県,205,4.27,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23,8,0.17,8,0.17,7,0.15,13,0.27,12,0.25,13,0.27,10,0.21,13,0.27,9,0.19,16,0.33,12,0.25,24,0.5,8,0.17
群馬県,255,4.9,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34,12,0.23,13,0.25,13,0.25,16,0.3,11,0.21,11,0.21,16,0.3,13,0.25,19,0.36,16,0.3,15,0.28,22,0.42,20,0.4
埼玉県,639,3.94,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18,30,0.18,23,0.14,30,0.18,37,0.23,29,0.18,42,0.26,28,0.17,38,0.23,44,0.27,29,0.18,50,0.31,70,0.43,34,0.22
千葉県,457,3.66,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24,21,0.17,16,0.13,31,0.25,28,0.22,33,0.26,23,0.18,18,0.14,23,0.18,28,0.22,24,0.19,34,0.27,39,0.31,24,0.2
東京都,1062,4.07,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25,43,0.16,57,0.22,41,0.16,53,0.2,58,0.22,64,0.24,64,0.24,51,0.19,62,0.24,79,0.3,90,0.34,72,0.27,58,0.22
神奈川県,757,3.31,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19,38,0.16,28,0.12,42,0.18,39,0.17,40,0.17,45,0.2,46,0.2,46,0.2,41,0.18,59,0.26,60,0.26,65,0.29,31,0.14
新潟県,204,3.71,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2,15,0.27,11,0.2,14,0.25,12,0.22,11,0.2,4,0.07,11,0.2,5,0.09,10,0.18,14,0.25,17,0.31,18,0.33,10,0.18
富山県,96,3.43,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17,6,0.21,3,0.1,7,0.24,5,0.17,8,0.28,4,0.14,4,0.14,5,0.17,4,0.14,6,0.21,8,0.29,8,0.29,6,0.21
石川県,91,3.25,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11,4,0.14,6,0.21,1,0.03,6,0.21,6,0.21,6,0.21,7,0.24,6,0.21,5,0.17,6,0.21,9,0.31,5,0.17,1,0.03
福井県,98,3.92,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04,5,0.2,4,0.16,6,0.24,6,0.24,4,0.16,8,0.32,5,0.2,4,0.16,8,0.32,4,0.16,8,0.32,7,0.28,7,0.28
山梨県,87,3.63,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17,5,0.21,3,0.13,6,0.25,8,0.33,4,0.17,4,0.17,5,0.21,6,0.25,3,0.13,6,0.25,6,0.25,3,0.13
長野県,138,2.56,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04,8,0.15,7,0.13,8,0.15,5,0.09,8,0.15,8,0.15,11,0.2,7,0.13,7,0.13,9,0.17,15,0.28,8,0.15
岐阜県,189,3.57,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23,13,0.25,10,0.19,6,0.11,10,0.19,17,0.32,8,0.15,10,0.19,7,0.13,11,0.21,11,0.21,12,0.23,7,0.13
静岡県,348,3.91,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19,17,0.19,12,0.13,24,0.27,22,0.25,21,0.24,22,0.25,24,0.27,23,0.26,17,0.19,25,0.28,21,0.24,31,0.35
愛知県,489,2.69,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11,29,0.16,26,0.14,26,0.14,33,0.18,30,0.16,36,0.2,23,0.13,34,0.19,28,0.15,35,0.19,33,0.18,31,0.17
三重県,162,3.6,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2,8,0.18,4,0.09,11,0.24,7,0.16,13,0.29,7,0.16,14,0.31,11,0.24,7,0.16,11,0.24,8,0.18,10,0.22
滋賀県,102,2.91,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08,5,0.14,5,0.14,8,0.22,7,0.19,4,0.11,7,0.19,4,0.11,3,0.08,7,0.19,9,0.25,7,0.19,8,0.24
京都府,202,2.69,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16,9,0.12,12,0.16,11,0.14,6,0.08,11,0.14,8,0.11,19,0.25,13,0.17,23,0.3,13,0.17,19,0.25,9,0.12
大阪府,669,3.4,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14,39,0.2,32,0.16,44,0.22,30,0.15,38,0.19,31,0.16,31,0.16,45,0.23,54,0.28,59,0.3,52,0.27,38,0.19
兵庫県,446,3.48,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1,15,0.12,26,0.2,27,0.21,23,0.18,24,0.19,26,0.2,27,0.21,35,0.27,33,0.26,31,0.24,41,0.32,22,0.17
奈良県,123,3.73,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21,9,0.27,9,0.27,8,0.24,7,0.21,5,0.15,4,0.12,7,0.21,3,0.09,6,0.18,10,0.29,15,0.44,4,0.12
和歌山県,112,3.73,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07,2,0.07,5,0.17,8,0.27,4,0.13,11,0.37,6,0.2,8,0.27,9,0.3,5,0.17,7,0.23,11,0.37,8,0.27
鳥取県,64,3.37,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,8,0.42,3,0.16,7,0.37,3,0.16,4,0.21,3,0.16,2,0.11,2,0.11,7,0.37,5,0.26,2,0.11,2,0.11
島根県,150,6.52,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17,5,0.22,3,0.13,13,0.57,5,0.22,14,0.61,7,0.3,8,0.35,11,0.48,9,0.39,15,0.65,14,0.61,14,0.61
岡山県,176,3.26,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15,13,0.24,6,0.11,12,0.22,6,0.11,7,0.13,7,0.13,10,0.19,12,0.22,7,0.13,17,0.31,17,0.31,7,0.13
広島県,246,3.57,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15,4,0.06,11,0.16,13,0.19,11,0.16,14,0.2,14,0.2,21,0.3,15,0.22,15,0.22,19,0.28,23,0.34,14,0.21
山口県,235,5.47,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28,15,0.35,8,0.19,14,0.33,15,0.35,10,0.23,16,0.37,16,0.37,10,0.23,20,0.47,17,0.4,21,0.49,11,0.26
徳島県,111,4.83,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17,6,0.26,7,0.3,1,0.04,8,0.35,6,0.26,6,0.26,7,0.3,8,0.35,7,0.3,8,0.35,11,0.48,8,0.35
香川県,130,4.64,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18,3,0.11,4,0.14,5,0.18,6,0.21,11,0.39,8,0.29,8,0.29,8,0.29,10,0.36,20,0.71,14,0.5,3,0.11
愛媛県,203,5.64,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32,13,0.35,9,0.24,13,0.35,5,0.14,15,0.41,9,0.24,13,0.35,11,0.3,9,0.24,16,0.43,11,0.3,11,0.3
高知県,86,3.44,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27,3,0.12,5,0.19,4,0.15,4,0.15,8,0.31,5,0.19,6,0.24,4,0.16,2,0.08,6,0.24,6,0.24,6,0.24
