報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
宮城県,406,7.52,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11,9,0.16,13,0.24,5,0.09,21,0.38,19,0.35,29,0.53,44,0.8,33,0.62,39,0.74,69,1.3,52,0.96,46,0.85
秋田県,49,1.48,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,2,0.06,4,0.12,6,0.18,4,0.12,5,0.15,1,0.03,1,0.03,1,0.03,4,0.12,4,0.12,8,0.24,6,0.18
山形県,126,4.5,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07,2,0.07,0,0,0,0,5,0.18,5,0.18,8,0.29,20,0.71,21,0.75,15,0.54,10,0.36,20,0.71,12,0.43
福島県,574,11.71,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43,23,0.47,15,0.31,30,0.61,29,0.59,37,0.76,49,1,39,0.8,52,1.06,54,1.1,50,1.02,54,1.1,55,1.12
茨城県,409,5.45,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09,4,0.05,6,0.08,16,0.21,25,0.33,25,0.33,25,0.33,28,0.37,27,0.36,48,0.64,58,0.77,63,0.84,58,0.77
栃木県,509,10.6,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29,13,0.27,13,0.27,32,0.67,33,0.69,21,0.44,32,0.67,52,1.08,60,1.25,54,1.13,42,0.88,67,1.4,44,0.92
群馬県,679,13.06,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06,7,0.13,32,0.6,25,0.47,37,0.7,31,0.58,42,0.79,61,1.15,54,1.02,92,1.74,117,2.21,102,1.92,65,1.3
埼玉県,2023,12.49,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.13,26,0.16,46,0.28,50,0.3,40,0.24,74,0.45,104,0.63,204,1.25,219,1.35,295,1.82,326,2.01,352,2.19,222,1.41
千葉県,962,7.7,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24,19,0.15,11,0.09,20,0.16,19,0.15,20,0.16,36,0.29,47,0.37,75,0.6,116,0.92,181,1.44,194,1.55,128,1.05
東京都,2707,10.37,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08,27,0.1,31,0.12,56,0.21,65,0.25,120,0.46,141,0.54,190,0.73,243,0.92,425,1.62,540,2.05,483,1.84,325,1.26
神奈川県,1829,7.99,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02,10,0.04,22,0.09,37,0.16,46,0.2,82,0.36,97,0.42,138,0.6,182,0.79,280,1.21,371,1.59,331,1.46,197,0.88
新潟県,475,8.64,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05,3,0.05,4,0.07,14,0.25,8,0.15,14,0.25,13,0.24,17,0.31,28,0.51,49,0.89,101,1.84,131,2.38,80,1.45
富山県,178,6.36,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1,1,0.03,5,0.17,9,0.31,6,0.21,3,0.1,4,0.14,8,0.29,24,0.86,42,1.5,35,1.25,19,0.68
石川県,257,9.18,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11,1,0.03,1,0.03,3,0.1,7,0.24,11,0.38,9,0.31,17,0.59,22,0.76,48,1.66,65,2.24,43,1.48,21,0.72
福井県,640,25.6,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04,6,0.24,8,0.32,7,0.28,15,0.6,24,0.96,36,1.44,59,2.36,72,2.88,91,3.64,109,4.36,111,4.44,75,3
山梨県,81,3.38,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0,0,0,3,0.13,3,0.13,5,0.21,2,0.08,3,0.13,5,0.21,4,0.17,9,0.38,16,0.67,17,0.71,10,0.42
長野県,239,4.43,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13,6,0.11,9,0.17,16,0.3,10,0.19,11,0.2,11,0.2,6,0.11,14,0.26,33,0.61,27,0.5,43,0.8,22,0.41
岐阜県,449,8.47,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28,9,0.17,10,0.19,16,0.3,13,0.25,14,0.26,19,0.36,42,0.79,54,1.02,55,1.04,68,1.28,65,1.23,53,1
静岡県,660,7.42,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02,4,0.04,5,0.06,11,0.12,15,0.17,19,0.21,22,0.25,39,0.44,65,0.73,80,0.9,146,1.64,120,1.35,120,1.35
愛知県,1445,7.94,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05,10,0.05,10,0.05,18,0.1,30,0.16,49,0.27,58,0.32,109,0.6,175,0.96,182,1,259,1.42,298,1.64,226,1.24
三重県,688,15.29,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09,2,0.04,5,0.11,9,0.2,9,0.2,10,0.22,19,0.42,49,1.09,67,1.49,99,2.2,148,3.29,142,3.16,121,2.69
滋賀県,292,8.34,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06,1,0.03,13,0.36,4,0.11,6,0.17,13,0.36,14,0.39,13,0.36,17,0.47,36,1,48,1.33,65,1.81,54,1.59
京都府,994,13.25,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24,7,0.09,20,0.26,20,0.26,28,0.37,47,0.62,42,0.55,95,1.25,117,1.52,144,1.87,162,2.1,182,2.36,96,1.26
大阪府,5559,28.22,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34,75,0.38,133,0.67,204,1.03,307,1.55,367,1.85,441,2.23,520,2.63,666,3.4,774,3.95,865,4.41,600,3.06,365,1.87
